"id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","matSize","HRO2","LifetimeE","LifetimeN","centroid","strength2"
"SYC91",1996,87,0.180394503929142,0.534085655444801,23,6,5,0,2008,1991,0.827943803257389,0.657794775078893,1361.36297289259,8033.02973214806,4697.19635252033,"mean"
"SYC91",1997,65,0.166434921759007,0.359186478140551,29,7,6,0,2008,1991,0.530113134599082,0.62105175636499,1362.58736686147,8031.08713129313,4696.8372490773,"mean"
"SYC91",1998,105,1.38544205817398,0.777280204437352,34,8,7,0,2008,1991,0.530113134599082,0.670194990912746,1361.54646736133,8032.66616094881,4697.10631415507,"3rd Qu."
"SYC91",1999,114,1.00763723373429,0.285390026906234,34,9,8,0,2008,1991,-0.36337887137584,0.657914929699206,1362.83681516815,8036.13183665039,4699.48432590927,"3rd Qu."
"SYC91",2000,109,1.42007336832095,0.557326624209086,36,10,9,0,2008,1991,-0.512294205704994,0.66145187254442,1361.78286371677,8036.66791902011,4699.22539136844,"3rd Qu."
"SYC91",2001,117,0.855833388814223,0.690281035497236,42,11,10,0,2008,1991,0.530113134599082,0.658057181825758,1360.09153425012,8037.61973413892,4698.85563419452,"3rd Qu."
"SYC91",2002,116,1.65915792082808,0.772727710298092,42,12,11,0,2008,1991,-0.36337887137584,0.635038021254846,1359.68175559672,8036.36251297556,4698.02213428614,"3rd Qu."
"SYC91",2003,94,0.232282053783488,0.536370383366964,47,13,12,0,2008,1991,0.976859137586543,0.686658221371709,1362.97483584494,8039.39788107394,4701.18635845944,"mean"
"SYC91",2004,101,1.1284666809946,0.767680047366293,54,14,13,0,2008,1991,-0.065548202717533,0.666069467760656,1358.86592222824,8038.04886492175,4698.45739357499,"3rd Qu."
"SYC91",2005,109,1.41255927357409,0.768724205449481,48,15,14,0,2008,1991,-1.70361688033822,0.64289354301369,1357.78890328754,8034.90538649784,4696.34714489269,"3rd Qu."
"SYC91",2006,102,0.900920702934141,0.74762643211726,50,16,15,0,2008,1991,0.232282465940774,0.635799951179382,1357.63446171879,8038.1450018071,4697.88973176295,"3rd Qu."
"SYC91",2007,95,0.989167670450228,0.697129306625414,60,17,16,0,2008,1991,-0.065548202717533,0.607785655620963,1358.28043808633,8039.92311775455,4699.10177792044,"3rd Qu."
"TER80",1993,92,0.301895500892847,0.0982340644568635,13,14,13,0,1997,1980,0.232282465940774,0.593826009060874,1374.82993225111,8045.3189998538,4710.07446605245,"mean"
"TER80",1994,71,0.285727078044928,0.0559894448375726,14,15,14,0,1997,1980,0.827943803257389,0.538328921728556,1375.79376790053,8046.68272155349,4711.23824472701,"mean"
"TER80",1995,51,-0.823997927476925,0.0488638068868887,16,16,15,0,1997,1980,0.827943803257389,0.50273934842701,1373.85180945926,8046.02480528798,4709.93830737362,"mean"
"TER80",1996,62,-0.36998162952985,0.0625284646659982,18,17,16,0,1997,1980,0.530113134599082,0.517346097699484,1373.24453118804,8045.60024442574,4709.42238780689,"mean"
"TER80",1997,32,-1.75010521617479,0.0116238311823343,18,17.5,17,1,1997,1980,0.232282465940774,0.526781231539879,1378.23080841876,8044.06701997719,4711.14891419798,"1st Qu."
"TER83",1993,41,-1.15617997468152,0.0436754856916083,13,10.5,10,1,1993,1983,0.232282465940774,0.532365603461461,1376.59249407479,8040.42866140065,4708.51057773772,"mean"
"TER84",1993,92,0.807125050120281,0.113303771946524,13,9.5,9,1,1993,1984,0.232282465940774,0.591373247375553,1373.67666140717,8045.07182702021,4709.37424421369,"3rd Qu."
"TER85",1993,95,0.740421757991855,0.116117115066112,13,9,8,0,2002,1985,0.232282465940774,0.602954013325157,1374.80248052693,8043.93855127766,4709.3705159023,"3rd Qu."
"TER85",1994,80,0.39608631341352,0.058541650461897,14,10,9,0,2002,1985,0.827943803257389,0.512807013154361,1375.34913263245,8044.29432909782,4709.82173086514,"mean"
