"","ego","ego.birth","ego.mom","ego.survived.frist.year","mom.degree","mom.strength","mom.eigen","mom.obs","matSize","id","HRO2","LifetimeE","LifetimeN","centroid","year","matriline"
"MNG093","MCU18",2018,"MNG09",0,-1.13532410163455,-1.17385693924602,-0.936792704504494,26,-1.53115825548792,"MNG09",-2.65933365365728,-0.370429441483571,-2.47467157811831,4685.06159837456,2018,"138"
"MEG06","MDD10",2010,"MEG06",0,-0.623083172788606,-0.219091835726234,-0.670000202829455,42,-0.588856564020024,"MEG06",-1.25397067274086,2.0873095418266,0.685450432932577,4711.09094738023,2010,"153"
"MEG061","MDD16",2016,"MEG06",0,-0.998726520608965,-0.851080746441968,-0.89408766589238,39,-1.12731467343025,"MEG06",-1.28856875436817,2.19651587613954,0.586915463921292,4710.9132073711,2016,"153"
"MEG062","MDD17",2017,"MEG06",0,-0.896278334839776,-0.574153382878589,-0.978093789056336,44,-1.32923646445909,"MEG06",-1.06839240165988,2.01197641995343,0.62231308029064,4710.48143337298,2017,"153"
"FAN93","MDL01",2001,"FAN93",0,0.777042032723642,1.03776591603927,1.45734425779967,45,-0.252320245638632,"FAN93",0.865031699565789,-0.300676544925885,0.182455245082297,4700.13711402135,2001,"130"
"FAN931","MDL03",2003,"FAN93",1,1.1185359852876,0.847991937818245,1.3741935849716,36,-0.454242036667467,"FAN93",1.02221868742401,-0.600931359736485,0.0455263055442924,4698.34836730069,2003,"130"
"FAN932","MDL04",2004,"FAN93",0,0.537996265928868,0.691945426857412,0.934261980503546,44,-0.454242036667467,"FAN93",1.13349776657051,-0.398820600891335,0.19645285497945,4699.8805227791,2004,"130"
"FAN933","MDL97",1997,"FAN93",0,-0.042543453429869,0.509557597940118,0.244510209634961,26,-0.185012981962353,"FAN93",0.583752595305818,-0.562661312804986,0.0307001284201803,4698.39611030766,1997,"130"
"FAN934","MDL98",1998,"FAN93",0,0.845340823236434,1.39865536917184,1.65577556227914,36,-0.117705718286075,"FAN93",0.717887818394692,-0.607433446069108,0.263817941540528,4699.54514677689,1998,"130"
"FAN935","MDL99",1999,"FAN93",0,1.49417933310796,2.18807904838162,0.0137974853580877,43,-0.050398454609796,"FAN93",0.597422117006242,-0.584121829184047,0.268702087789618,4699.65193272395,1999,"130"
"TIK98","MDR02",2002,"TIK98",0,-0.964577125352569,-0.852388570397473,-0.830261483959639,20,-0.521549300343746,"TIK98",-1.14368014270524,-0.240412946289871,-2.04802982782076,4687.88746560831,2002,"133"
