"","id","lifespan","sum_degree","sum_strength","sum_eigen","mean_mat","mean_matSize","mean_HRO","mean_N","mean_E","matriline","LRS","LBS","mean.grp.size","matSize"
"219","HOO05",13,1090,166.517635226331,7.06864982732878,30.4545454545455,69.6363636363636,0.694698101041943,8036.14350191518,1361.86465695802,"143",1,8,20.7880085653105,76.5555555555556
"220","HRM95",9,855,132.475692005671,4.48498860166606,2.85714285714286,75,0.688387442794086,8037.63176548682,1362.52888627546,"136",0,2,22.4214876033058,6.33333333333333
"221","HRM99",8,668,109.040614468994,4.53038815789237,1.83333333333333,75,0.708393459467351,8035.35831843339,1362.87104154983,"136",2,3,24.8017621145374,3
"222","IBI83",3,114,13.0592733494589,0.172663245515385,14,70,0.448934504682726,8025.28893381597,1362.28647362175,"143",0,1,28,206
"223","IBI84",13,1427,244.202844105322,4.13679196467145,19.7272727272727,73.5714285714286,0.625851926751728,8028.92679095653,1361.6207226637,"143",4,7,NA,59.5
"224","ILE86",18,1911,282.19067075,3.58885352572285,27.9375,72.5714285714286,0.677526037620872,8041.06236913698,1369.52546512116,"147",3,8,14.1428571428571,78.1111111111111
"225","ILE87",20,1817,283.043170657453,3.24266477324301,32.9444444444444,71.875,0.660809744124051,8042.19592585875,1370.16469424534,"147",4,12,NA,60.1538461538462
"226","INI86",15,1551,364.692783785826,8.93001965101216,5.23076923076923,74.2222222222222,0.647529542530874,8036.55136861375,1362.99184025333,"136",4,11,20.5135746606335,6.41666666666667
"227","INI87",6,560,142.412375887836,2.1482685718161,7.5,73.25,0.625949193172578,8035.77127605678,1362.65457718041,"136",0,1,NA,13.5
"228","IVO99",16,1287,197.58474644781,7.89545589420492,50.6153846153846,68.8461538461538,0.71112695454708,8035.95835094575,1363.62677048216,"147",0,6,NA,88.5714285714286
"229","IVY95",5,214,26.5163638393269,0.28542862562317,34,70.5,0.672610148684312,8043.32089867305,1368.81409383741,"147",0,1,14.6567164179104,241
"230","IVY97",18,1056,155.026630987701,1.84174933434307,47.9375,69.3125,0.631929312702988,8043.73557357775,1371.13759177419,"147",3,7,11.5210084033613,78.875
"231","JAE02",16,749,136.34120314578,1.6655763932119,11.6428571428571,72.5714285714286,0.534804557590422,8041.5376428313,1377.45718365832,"153",1,6,13.6179245283019,32
"232","JOS74",4,137,15.4913300280201,0.105788300424025,11.5,74,0.339644323872236,8018.69734824501,1361.43462233107,"106",0,1,8.375,29.5
"233","JOS77",6,225,34.1226950753223,0.191000666884413,10.3333333333333,74,0.401805109536334,8010.91115122044,1361.37922544933,"106",0,1,7.36666666666667,23.5
"234","JUG87",12,1096,218.62587252993,4.07832679675905,4.6,74.3333333333333,0.59413958661943,8029.65862559023,1362.29011933951,"135",1,5,17.8881118881119,10.5
"235","JUN85",14,1607,318.292154061763,6.6011423965427,19.75,72.2222222222222,0.664110014945496,8038.03227476033,1365.18558371112,"147",4,8,16.0866141732283,68.8888888888889
