"","id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","lastSeen","matSize","HRO2","LifetimeE","LifetimeN","centroid","sex","matriline"
"3942","SAM94",2011,-1.3821361933076,-0.637596699744011,-0.219360173289435,8,18,17,0,2016,1994,2016,NA,0.440434928289902,-1.50649365317559,0.41661502871686,4697.88796663437,1,"139"
"3943","SAM94",2012,-1.03605482429648,-0.677447983773701,-0.518364363434611,6,19,18,0,2016,1994,2016,NA,0.977655319687022,-0.910679183495519,0.344735026869202,4699.80329766771,1,"139"
"3944","SAM94",2015,-0.588184817340916,-0.540751519964239,-0.109847032589037,5,22,21,0,2016,1994,2016,0.80773443818857,0.541458859826692,-1.27532546061376,0.393497295222488,4698.65437841969,1,"139"
"3945","SAM95",1998,0.287197468981324,-0.0745694900758953,1.47959042642761,9,4,3,0,1999,1995,1999,NA,-0.438496855915256,-1.43854480665858,0.630235409457623,4699.18920198287,1,"139"
"3946","SAM95",1999,0.450059289692438,-0.16806953481783,-0.201105948144303,10,4.5,4,1,1999,1995,1999,0.535959009179542,0.551733586237197,-0.921152124298111,0.203540986062514,4699.07422437688,1,"139"
"3947","SAP12",2015,-0.343892086274245,-0.353007748976233,0.624343966857778,30,4,3,0,NA,2012,2018,-0.8229181358656,0.9678437187058,-0.678526184612643,-0.190509323363515,4698.07350852222,1,"143"
"3948","SAP12",2016,0.144693375859098,-0.102316263504129,1.17514707273944,20,5,4,0,NA,2012,2018,-0.551142706856572,0.952345080468568,-0.453210561561781,-0.679399628825204,4696.54399036426,1,"143"
"3949","SAP12",2017,-0.262461175918687,-0.376647747475441,-0.143183339883775,10,6,5,0,NA,2012,2018,-0.8229181358656,0.0810256956782761,-0.506966770345742,-1.43516704818168,4692.65024607802,1,"143"
"3950","SAP12",2018,-0.893550731174255,-0.683768113355707,-0.680315535452751,0,7,6,0,NA,2012,2018,-0.551142706856572,-1.15745254172444,0.423145605540995,-2.3269023612449,4691.83497303191,1,"143"
"3951","SCO74",1977,-0.974981641529813,-0.477103716814008,-1.00160022022151,6,4,3,0,1986,1974,1986,NA,-2.11480517256355,-0.843108029531587,-2.52463806371804,4686.05346009938,1,"127"
"3952","SCO74",1978,1.08114884494801,-0.183831831063135,-0.624200104274905,7,5,4,0,1986,1974,1986,0.80773443818857,-0.277714037618066,-0.566635245478511,-1.51762725490688,4692.02076412827,1,"127"
"3953","SCO74",1979,1.59009203467024,0.113206405967282,-0.246726894785586,7,6,5,0,1986,1974,1986,NA,0.491680613181791,-0.804001371509069,-0.821190362327581,4694.51758644535,1,"127"
"3954","SCO74",1980,1.06079111735912,-0.231124213183773,-0.830606622484796,8,7,6,0,1986,1974,1986,0.535959009179542,0.0535558607770212,-0.88131118429654,-1.40958055196246,4691.35130686962,1,"127"
"3955","SCO74",1981,0.10397792068132,-0.334967369301857,-0.89559583177544,8,8,7,0,1986,1974,1986,NA,-0.62800686264586,-0.720858215756323,-2.11625932823448,4688.51194532877,1,"127"
"3956","SCO74",1982,0.0632624655035413,-0.240057716153138,-0.859490596882907,10,9,8,0,1986,1974,1986,NA,-1.21229300374085,-0.786800181806247,-2.48295445668799,4686.47110869607,1,"127"
"3957","SCO74",1983,0.144693375859098,-0.234718818363605,-0.850437085278824,11,10,9,0,1986,1974,1986,NA,-1.23058847248405,-0.683381012490471,-2.19294157527501,4688.28016746671,1,"127"
"3958","SCO74",1984,0.714709748347999,-0.327820584093677,-0.665865385782796,12,11,10,0,1986,1974,1986,0.80773443818857,-0.215395194825973,-0.901008728142687,-1.57159730502048,4690.48550119505,1,"127"
"3959","SCO74",1985,-0.649258000107584,-0.409785972319095,-0.839671472122053,12,12,11,0,1986,1974,1986,0.535959009179542,-1.86948914655754,-0.530921606657524,-2.35078310565563,4688.08955164382,1,"127"
"3960","SCO74",1986,-0.832477548407588,-0.475613276339998,-0.930520939466919,11,12.5,12,1,1986,1974,1986,0.264183580170513,-2.42562038856206,-0.967292149037841,-2.47338947507017,4685.83128896711,1,"127"
"3961","SCO76",1979,0.97936020700356,-0.277816621092631,-0.569924015980718,7,4,3,0,1994,1976,1994,NA,0.156154234531455,-0.870510192245981,-0.790712395233759,4694.41339469356,1,"127"
"3962","SCO76",1980,2.01760431403691,0.176775847674583,-0.381661834376733,8,5,4,0,1994,1976,1994,0.535959009179542,0.0308235194537902,-0.625641871704357,-1.45561931750284,4692.09902097702,1,"127"
"3963","SCO76",1981,1.71223840020357,0.260595747419571,-0.117367350013473,8,6,5,0,1994,1976,1994,NA,0.376445713093052,-1.08534584540155,-1.13463549827827,4691.91739434135,1,"127"
"3964","SCO76",1982,0.775782931114667,0.0637572341577966,-0.209093959148567,10,7,6,0,1994,1976,1994,NA,0.0200735587919691,-0.583761246017185,-1.75145917317553,4690.81417364572,1,"127"
"3965","SCO76",1983,0.694352020759109,0.0190873762425798,-0.307689157891921,11,8,7,0,1994,1976,1994,NA,0.234066134117384,-0.863117124008499,-0.775164371367487,4694.51741233546,1,"127"
"3966","SCO76",1984,0.612921110403552,-0.239679757171952,-0.467357436478492,12,9,8,0,1994,1976,1994,0.80773443818857,0.00573648065488776,-0.728322176483142,-0.939316652326013,4694.22880283008,1,"127"
"3967","SCO76",1985,0.653636565581331,-0.0576032031946481,-0.123746918588548,12,10,9,0,1994,1976,1994,0.535959009179542,0.494224421979625,-0.482305890977478,-0.857211188444741,4695.56533732431,1,"127"
"3968","SCO76",1986,1.61044976225913,0.294435499800512,0.322190562055693,11,11,10,0,1994,1976,1994,0.264183580170513,0.155892414629649,-0.839690849806897,-0.911165252778955,4693.94262700106,1,"127"
"3969","SCO76",1987,1.16257975530356,0.142218339937309,-0.180868143021907,12,12,11,0,1994,1976,1994,0.80773443818857,-0.031695157868201,-0.919396121540021,-0.855812453099048,4693.90966834191,1,"127"
"3970","SCO76",1988,1.12186430012578,0.152156820436302,-0.159335516066521,12,13,12,0,1994,1976,1994,0.80773443818857,-0.0901185407815477,-0.593959391085401,-0.516924328096654,4696.80176776855,1,"127"
"3971","SCO76",1989,1.83438476573691,0.523668654130567,0.235591128370646,12,14,13,0,1994,1976,1994,NA,-0.259408018598625,-0.833838761907341,-0.869841581550775,4694.1666072925,1,"127"
"3972","SCO76",1990,1.54937657949246,0.8085158441536,0.867452695028889,12,15,14,0,1994,1976,1994,0.80773443818857,0.337243201948862,-1.12730882822059,-0.185836720654445,4696.38934818642,1,"127"
"3973","SCO76",1991,1.63080748984802,0.310999050494599,0.143804124837756,12,16,15,0,1994,1976,1994,NA,0.325405076085418,-0.968761089062522,-0.79291396637385,4694.02894499136,1,"127"
"3974","SCO76",1992,0.348270651747991,0.355889654634488,0.0570198680684643,8,17,16,0,1994,1976,1994,0.80773443818857,-0.717004406454433,-0.548837506445029,-0.934814501979091,4694.93345996998,1,"127"
